板块名,标题,作者,日期,新闻内容
三只松鼠广告使用红领巾,“眯眯眼”后再惹争议！广告中使用红领巾，三只松鼠致歉,北京青年报,2022年01月03日 15:39,原标题：15楼财经|“眯眯眼”后再惹争议！广告中使用红领巾，致歉针对三只松鼠广告使用红领巾被指违法一事，三只松鼠1月3日下午发文致歉称，该问题早已被芜湖市少工委函告后整改。针对以上问题，公司第一时间成立工作组，结合近期大家讨论的类似问题，从广告、官网、产品包装与详情页面等多方面开展自查自纠。北京青年报记者了解到，继宣传海报中模特妆容引发争议之后，近日，又有网友曝出三只松鼠一次营销广告涉嫌违法。在一组名为“补脑节”的宣传海报中，图中男子戴着红领巾，疑似扮成少先队员。有法院发文指出，在商业广告中使用红领巾已经涉嫌违法。对此，三只松鼠1月3日发致歉信称，近日有网络报道我司2019年一则广告页面使用“红领巾”图案，引起社会关注。对此，我们向关心、支持、信任三只松鼠的消费者和社会各界表达最诚挚的歉意。针对以上问题，公司第一时间成立工作组，结合近期大家讨论的类似问题，从广告、官网、产品包装与详情页面等多方面开展自查自纠。经查，该广告于2019年3月28日上线，我司对此页面上线审核把关不严。接到芜湖市少工委函告后，我司意识到该问题的严重性，已于2019年4月1日下线相关页面及产品，并针对性加强内部合规审核与员工培训宣导。三只松鼠扎根中国，创业于安徽芜湖，是一个土生土长的民族品牌。欢迎社会各界继续关注三只松鼠，我们将虚心接受来自消费者、监管部门及媒体的监督和批评，以此为鉴，改正不足，避免此类问题的再次发生。责任编辑：张亚楠
三只松鼠广告使用红领巾,三只松鼠就广告使用红领巾致歉：2019年已下线页面及产品,澎湃新闻,2022年01月03日 15:28,致歉信近日有网络报道我司2019年一则广告页面使用“红领巾”图案，引起社会关注。对此，我们向关心、支持、信任的消费者和社会各界表达最诚挚的歉意。针对以上问题，公司第一时间成立工作组，结合近期大家讨论的类似问题，从广告、官网、产品包装与详情页面等多方面开展自查自纠。经查，该广告于2019年3月28日上线，我司对此页面上线审核把关不严。接到芜湖市少工委函告后，我司意识到该问题的严重性，已于2019年4月1日下线相关页面及产品，并针对性加强内部合规审核与员工培训宣导。三只松鼠扎根中国，创业于安徽芜湖，是一个土生土长的民族品牌。欢迎社会各界继续关注三只松鼠，我们将虚心接受来自消费者、监管部门及媒体的监督和批评，以此为鉴，改正不足，避免此类问题的再次发生。三只松鼠股份有限公司2022年1月3日责任编辑：彭佳兵
