板块名,标题,作者,日期,新闻内容
三只松鼠广告使用红领巾,“5年防骗、3年补脑” 三只松鼠营销海报又遭质疑,新京报,2022年01月02日 17:35,##【“5年防骗、3年补脑”#三只松鼠营销海报又遭质疑#】近日，网红品牌三只松鼠的一张“331补脑节”的商业海报再次引发关注。海报上少先队员戴着红领巾，拿着“5年防骗、3年补脑”的零食大礼包，行少先队礼的内容被网友质疑。据三只松鼠官方显示，该海报上架与2019年3月，为三只松鼠创立的“331补脑节”。与此同时，三只松鼠也面临营收下滑、大股东减持、市值蒸发、多次被曝出食品安全问题，其“贴牌+代工”的生产模式，也频频陷入舆论风波。责任编辑：梁斌SF055
三只松鼠广告使用红领巾,“5年防骗、3年补脑” 三只松鼠营销海报又遭质疑,新京报,2022年01月02日 17:35,##【“5年防骗、3年补脑”#三只松鼠营销海报又遭质疑#】近日，网红品牌三只松鼠的一张“331补脑节”的商业海报再次引发关注。海报上少先队员戴着红领巾，拿着“5年防骗、3年补脑”的零食大礼包，行少先队礼的内容被网友质疑。据三只松鼠官方显示，该海报上架与2019年3月，为三只松鼠创立的“331补脑节”。与此同时，三只松鼠也面临营收下滑、大股东减持、市值蒸发、多次被曝出食品安全问题，其“贴牌+代工”的生产模式，也频频陷入舆论风波。责任编辑：梁斌SF055
